userName,at,content,score
Denniel Syahrul,2023-12-01 11:49:38,kaga bisa kebuka,2
ghea asmarandhana,2023-12-02 02:27:15,mantap semakin memudahkan mobilitas para penggunanya,5
Latifah Dena,2023-12-02 07:11:42,aplikasinya sangat membantu,5
Hidup Baru,2023-12-02 07:41:45,mantab,5
Dika Dewantara,2023-12-02 08:28:09,sangat membantu untuk mengetahui jam kedatangan kereta dan memudahkan untuk mengetahui jumlah saldo kmt tanpa harus mengantri di loket,5
Putra Miftaul Huda,2023-12-03 03:02:03,suka eror,1
Farel Iqbal,2023-12-03 05:49:25,ga jelas udh di download gabisa dibuna,1
VIKSMARD 25,2023-12-03 19:44:39,saat daftar menggunakan kata spesial ngebug tidak bisa ,1
Lilik Andrianto,2023-12-04 10:18:43,beda dg kai access ya,5
Kristian Sutoyo,2023-12-05 11:51:15,aksesnya lama ga bisa cek kmt ga bisa daftar sudah hari coba selalu keluar notif ada sedikit masalah ,1
Angga Praditya,2023-12-05 12:40:01,gajelas banget aplikasinya ga keurus,1
Agus Gunawan,2023-12-07 10:24:23,udah cape cape daftar pas masuk akun malah ada kendala kan aneh tapi nyata gak bisa topup dong cuma bisa cek doang tolong di perbaiki dong,5
Deris Rismawan,2023-12-09 01:28:34,gak bisa ke buka aplikasi nya jelek,1
Rafif Wkwk,2023-12-09 08:09:41,mau buka aplikasi aja lama banget,2
Mas Ryan CS,2023-12-10 09:36:19,susah mau daftar nya kode verifikasi nggak masuk² ke email kayanya aplikasi belum siapp tapi udah rilis ,1
Trino,2023-12-10 11:07:35,masih banyak banget yang harus diperbaiki kalau cuma buat cek rute cek harga posisi kereta dan jam lebih baik pakai aplikasi klr aja,1
dabella hara,2023-12-11 11:52:16,udah diinstal tp kok gk bisa dibuka yaaa,2
Aditya Arya Nugraha,2023-12-12 01:25:59,aplikasi gajelas banyak bug update saldo pending,1
Sayang,2023-12-12 02:07:11,untuk metode pembayaran pembelian tiket mengunakan aplikasi dana dan pihak bank fitur nya adakan supaya memudahkan,1
