userName,at,content,score,Label
Denniel Syahrul,2023-12-01 11:49:38,buka,2,Negatif
ghea asmarandhana,2023-12-02 02:27:15,mantap mudah mobilitas guna,5,Positif
Latifah Dena,2023-12-02 07:11:42,aplikasi bantu,5,Positif
Hidup Baru,2023-12-02 07:41:45,mantap,5,Positif
Dika Dewantara,2023-12-02 08:28:09,bantu jam datang kereta mudah saldo kmt antri loket,5,Positif
Putra Miftaul Huda,2023-12-03 03:02:03,suka error,1,Negatif
Farel Iqbal,2023-12-03 05:49:25,unduh tidak bisa buna,1,Negatif
VIKSMARD 25,2023-12-03 19:44:39,daftar spesial bug,1,Negatif
Lilik Andrianto,2023-12-04 10:18:43,beda kai access iya,5,Positif
Kristian Sutoyo,2023-12-05 11:51:15,akses cek kmt daftar coba notif,1,Negatif
Angga Praditya,2023-12-05 12:40:01,tidak jelas banget aplikasi urus,1,Negatif
Agus Gunawan,2023-12-07 10:24:23,capek capek daftar pas masuk akun kendala aneh nyata topup cek doang tolong baik,5,Positif
Deris Rismawan,2023-12-09 01:28:34,buka aplikasi nya jelek,1,Negatif
Rafif Wkwk,2023-12-09 08:09:41,buka aplikasi banget,2,Negatif
Mas Ryan CS,2023-12-10 09:36:19,susah daftar nya kode verifikasi masuk email kayak aplikasi siapp rilis,1,Negatif
Trino,2023-12-10 11:07:35,banget baik cek rute cek harga posisi kereta jam pakai aplikasi klr,1,Negatif
dabella hara,2023-12-11 11:52:16,diinstal buka yaaa,2,Negatif
Aditya Arya Nugraha,2023-12-12 01:25:59,aplikasi tidak jelas bug baru saldo tunda,1,Negatif
Sayang,2023-12-12 02:07:11,metode bayar beli tiket aplikasi dana bank fitur nya mudah,1,Negatif
Fauzan Syahla,2023-12-12 07:38:55,topup cuman lihat rute tarif lebih baik krl mah,1,Negatif
Dian Purnama,2023-12-12 11:04:24,susah log masuk aplikasi nya keluh,2,Negatif
SAEPUL HIZAZ,2023-12-12 11:24:21,mantaap kci,5,Positif
firdaus setiawan,2023-12-13 01:39:01,baru aplikasi buka,1,Negatif
Wahyu Stand,2023-12-13 04:05:21,lelet banget aplikasi nya,1,Negatif
